"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"PF";34;"DEN";51;48;24.3;43.5;3.1;6.2;50;2.3;2.8;81.6;1.9;3.8;5.7;1.6;0.9;0.6;1.4;2.9;11.6
"SG";23;"PHI";40;24;20.1;43;1.9;3.6;53.5;1.3;1.6;78.5;0.4;1.8;2.2;2.6;0.5;0.2;1.2;2.3;9.4
"SG";23;"UTA";69;69;34.3;36.6;6.2;12.6;49.4;4;4.7;86.3;0.8;3.6;4.4;4.3;1;0.2;2.7;2.5;24
"SG";26;"IND";5;0;9.4;16.7;0.8;1;80;0;0;NA;0;1.4;1.4;1.6;0.2;0.2;0.6;0.4;2.8
"SG";21;"CHI";11;0;10.2;40;0.5;1.2;46.2;0.2;0.4;50;0.6;0.3;0.9;0.4;0.4;0;0.2;1.5;2.9
"SG";21;"CHO";55;1;21.3;28.4;2.8;5.2;54.2;1.5;1.8;82;0.5;2.4;2.9;2.1;0.5;0.3;1.4;1.3;10.3
"SG";22;"CLE";4;0;4.8;0;0.3;0.5;50;0;0;NA;0;0.8;0.8;0.3;0.5;0.3;0;0.3;0.5
"SG";30;"NOP";56;6;18.2;37.7;2.2;4.8;45.6;0.6;0.8;68.9;0.6;1.8;2.3;1.4;0.6;0.2;0.7;1.4;8.3
"PG";20;"MEM";67;67;31;33.5;5.8;11.3;51.1;3.6;4.6;77.6;0.8;3.1;3.9;7.3;0.9;0.3;3.3;1.6;17.8
"PF";22;"UTA";21;0;6.4;37.5;0.6;0.9;66.7;0.1;0.2;75;0.5;0.9;1.4;0.3;0;0.1;0.3;0.9;1.7
"SF-PF";30;"TOT";62;62;31.2;40.8;3.4;7.5;46.1;2.9;3.5;82.3;1;4.1;5;1.4;0.8;0.5;1.6;2.9;16.7
"SF";30;"NYK";43;43;32.3;43.9;3.8;8.7;44.4;3.8;4.6;82.3;1.1;4.3;5.4;1.4;0.8;0.4;1.7;3;19.6
"PF";30;"LAC";19;19;28.9;31;2.5;4.7;53.3;0.9;1.2;81.8;0.6;3.5;4.1;1.4;0.7;0.7;1.3;2.7;10.1
